Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;312024;6.2749981880188;25.010089489174;13.87010383606;0;1737738554;0;0;441920;0;0;74.990121176153;19903.967138358;0;0;1737738540;0;0;
ip-10-0-9-170;_ALL;_ALL;0;312024;6.2749981880188;25.010089489174;13.87010383606;0;1737738554;0;0;441920;0;0;74.990121176153;19903.967138358;0;0;1737738540;0;0;
ip-10-0-9-170;9436;_ALL;0;312024;6.2749981880188;25.010089489174;13.87010383606;0;1737738554;0;0;441920;0;0;74.990121176153;19903.967138358;0;0;1737738540;0;0;
ip-10-0-9-170;9436;9453;3.2742455005646;309029;6.2599873542786;25.239662165766;13.859790802002;0;1737738554;0;0;449238;0;0;74.760586683235;1251.9974772897;1.0361919403076;0;1737738540;0;0;
ip-10-0-9-170;9436;9459;6.4569449424744;309127;6.2749981880188;24.46215799282;13.859674453735;0;1737738554;0;0;449453;0;0;75.537914175442;1254.9996001508;0.99740797281265;0;1737738540;0;0;
ip-10-0-9-170;9436;9457;7.5117335319519;309334;6.259991645813;23.961695796219;13.859941482544;0;1737738554;0;0;449393;0;0;76.038480455732;1251.9982965905;0.60084998607635;0;1737738540;0;0;
ip-10-0-9-170;9436;9456;4.0703048706055;309370;6.25998878479;26.597495931914;13.860007286072;0;1737738554;0;0;449363;0;0;73.402751894534;1251.9977845275;0.19779899716377;0;1737738540;0;0;
ip-10-0-9-170;9436;9454;6.9538860321045;309097;6.2749838829041;25.577763086813;13.859802246094;0;1737738554;0;0;449295;0;0;74.422541652658;1254.9967325981;0.59329599142075;0;1737738540;0;0;
ip-10-0-9-170;9436;9455;4.8481249809265;309440;6.2749900817871;23.745056289074;13.860110282898;0;1737738554;0;0;449330;0;0;76.255159833478;1254.9979615493;0.75396800041199;0;1737738540;0;0;
ip-10-0-9-170;9436;9460;5.5858130455017;309294;6.169988155365;23.338775966705;13.859810829163;0;1737738554;0;0;449483;0;0;76.661479365026;1233.9976441102;0.43354299664497;0;1737738540;0;0;
ip-10-0-9-170;9436;9458;8.1387062072754;309251;6.2449960708618;24.579675828677;13.859828948975;0;1737738554;0;0;449422;0;0;75.42041116366;1248.9992461073;1.0370479822159;0;1737738540;0;0;
ip-10-0-9-170;9436;9462;8.7993335723877;309473;6.1649971008301;25.060836059284;13.859930992126;0;1737738554;0;0;449542;0;0;74.939244404827;1232.9994285297;1.3965150117874;0;1737738540;0;0;
ip-10-0-9-170;9436;9436;4.5360164642334;312024;6.2749853134155;26.055837856159;13.87010383606;0;1737738554;0;0;441920;0;0;73.944465098154;1254.9970398359;0.3565120100975;0;1737738540;0;0;
ip-10-0-9-170;9436;9465;10.511949539185;309542;6.1749897003174;22.672102276275;13.859907150269;0;1737738554;0;0;449635;0;0;77.328099206338;1234.9979079427;1.1720039844513;0;1737738540;0;0;
ip-10-0-9-170;9436;9466;7.1944270133972;309576;6.1799879074097;24.676421955316;13.859912872314;0;1737738554;0;0;449663;0;0;75.323837106187;1235.9975572995;0.42416200041771;0;1737738540;0;0;
ip-10-0-9-170;9436;9467;9.8616037368774;309611;6.1799879074097;25.728210620539;13.859917640686;0;1737738554;0;0;449693;0;0;74.272011931547;1235.9975572995;0.54833400249481;0;1737738540;0;0;
ip-10-0-9-170;9436;9464;10.570802688599;309406;6.1599822044373;27.191639612178;13.859801292419;0;1737738554;0;0;449605;0;0;72.808713938836;1231.9963995571;0.77235502004623;0;1737738540;0;0;
ip-10-0-9-170;9436;9463;7.3607082366943;309507;6.1849927902222;26.030749956659;13.859935760498;0;1737738554;0;0;449571;0;0;73.969391887957;1236.9985380202;0.26605498790741;0;1737738540;0;0;
ip-10-0-9-170;9436;9461;9.3941679000854;309149;6.1799898147583;25.242761909461;13.859637260437;0;1737738554;0;0;449512;0;0;74.757438762801;1235.9979669499;0.8736469745636;0;1737738540;0;0;
