ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 8;BSM;;main._omp_fn.0;InBetween;8.3849992752075;8.1711664199829;47.812511444092;2.16;1.51;1.29;2.57 - 1.24;1;4.44;49.31;9.00;4.17;5.96;7.00;3.50 - 7.24
Loop 6;BSM;;main._omp_fn.0;Innermost;1.1749999523163;1.0819342136383;6.3307962417603;1.00;1.00;2.00;1.00;1;0.00;50.00;2.00;2.00;2.00;1.00;2.00
Loop 12;BSM;;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);Innermost;0.90500044822693;0.84801095724106;4.9620251655579;1.00;1.23;2.38;1.00;1;0.00;46.67;3.00;3.00;2.45;1.26;3.00
Loop 11;BSM;;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();Single;0.83499997854233;0.75906318426132;4.4415588378906;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
Loop 10;BSM;;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();Single;0.43499991297722;0.37003535032272;2.1652133464813;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
Loop 13;BSM;;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);Outermost;0.0099999997764826;0.0028488605748862;0.016669735312462;1.00;1.00;2.00;NA;1;0.00;50.00;1.00;1.00;1.00;0.50;NA
