group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;FLD,;1882,;0x38a4,;RIP based value;0;Success;4;4;0;4;0;1;
3;LLS;VMULSD,FMUL,FSTP,;0,0,0,;0x38aa,0x38af,0x38b6,;Success;0;Success;24;8;16;8;0;1;
2;LS;MOV,MOV,;0,4992,;0x3858,0x385c,;Iteration not constant;0;Success;16;16;0;5000;0;1;
