node;pid;tid;core_id;sample_count;
ip-10-0-9-63;14137;14169;9;1689;
ip-10-0-9-63;14137;14169;14;1655;
ip-10-0-9-63;14137;14168;2;318;
ip-10-0-9-63;14137;14168;8;1018;
ip-10-0-9-63;14137;14168;13;420;
ip-10-0-9-63;14137;14168;15;1594;
ip-10-0-9-63;14137;14167;7;3352;
ip-10-0-9-63;14137;14166;11;3339;
ip-10-0-9-63;14137;14165;3;1306;
ip-10-0-9-63;14137;14165;4;1559;
ip-10-0-9-63;14137;14165;9;344;
ip-10-0-9-63;14137;14165;14;138;
ip-10-0-9-63;14137;14164;2;1041;
ip-10-0-9-63;14137;14164;8;469;
ip-10-0-9-63;14137;14164;16;1830;
ip-10-0-9-63;14137;14163;1;3341;
ip-10-0-9-63;14137;14163;16;4;
ip-10-0-9-63;14137;14161;5;1793;
ip-10-0-9-63;14137;14161;13;1603;
ip-10-0-9-63;14137;14137;10;3405;
ip-10-0-9-63;14137;14162;2;1998;
ip-10-0-9-63;14137;14162;13;1356;
ip-10-0-9-63;14137;14157;6;3397;
ip-10-0-9-63;14137;14156;4;1801;
ip-10-0-9-63;14137;14156;12;1601;
ip-10-0-9-63;14137;14154;3;2101;
ip-10-0-9-63;14137;14154;9;1298;
ip-10-0-9-63;14137;14158;8;1900;
ip-10-0-9-63;14137;14158;16;1504;
ip-10-0-9-63;14137;14159;12;1775;
ip-10-0-9-63;14137;14159;14;1643;
ip-10-0-9-63;14137;14160;5;1606;
ip-10-0-9-63;14137;14160;15;1792;
