loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
7;BSM;main._omp_fn.0;13;;InBetween;15.665242195129;0.36499997973442;;;;;;15.665242195129;0.36499997973442;;;;;;;;
13;BSM;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);18;;Innermost;15.665242195129;0.36499997973442;;;;;;15.665242195129;0.36499997973442;;;;;;;;
6;BSM;main._omp_fn.0;13;;InBetween;23.60516166687;0.55000001192093;;;;;;13.733911514282;0.31999999284744;;;;;;;;
4;BSM;main._omp_fn.0;13;;Innermost;9.8712491989136;0.23000000417233;;;;;;9.8712491989136;0.23000000417233;;;;;;;;
12;BSM;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();17;;Single;2.3605160713196;0.054999999701977;;;;;;2.3605160713196;0.054999999701977;;;;;;;;
11;BSM;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();17;;Single;0.42918473482132;0.0099999997764826;;;;;;0.42918473482132;0.0099999997764826;;;;;;;;
