Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;988685;19.899951934814;0.012704287356619;21.165634155273;0;1737465159;0.011116251437042;0;823050;0;1.8198894373317;98.156341083685;62970.867829371;0;0;1737465138;0;0;
jf;_ALL;_ALL;0;988685;19.899951934814;0.012704287356619;21.165634155273;0;1737465159;0.011116251437042;0;823050;0;1.8198894373317;98.156341083685;62970.867829371;0;0;1737465138;0;0;
jf;186301;_ALL;0;988685;19.899951934814;0.012704287356619;21.165634155273;0;1737465159;0.011116251437042;0;823050;0;1.8198894373317;98.156341083685;62970.867829371;0;0;1737465138;0;0;
jf;186301;186326;2.9949288368225;989065;19.609956741333;0;21.163339614868;0;1737465159;0;0;825725;0;1.8612996225785;98.138740031064;3921.9913832499;1.8879280090332;0;1737465138;0;0;
jf;186301;186328;2.8044710159302;988641;19.82995223999;0.025214381395704;21.162824630737;0;1737465159;0.025214381395704;0;825816;0;1.6893638059827;98.260254532124;3965.9906158569;2.8044710159302;0;1737465138;0;0;
jf;186301;186330;1.9520400762558;988608;19.679960250854;0;21.162704467773;0;1737465159;0;0;825904;0;1.8292720572283;98.170785303692;3935.9924253985;1.8398909568787;0;1737465138;0;0;
jf;186301;186301;1.6372510194778;988685;19.349956512451;0.051679702465135;21.165634155273;0;1737465159;0;0;823050;0;1.7312702913153;98.217116728366;3869.9913207691;1.6280850172043;0;1737465138;0;0;
jf;186301;186324;1.8119549751282;988607;19.719955444336;0;21.162977218628;0;1737465159;0;0;825629;0;1.8255622866606;98.174484975413;3943.9912046188;1.5136239528656;0;1737465138;0;0;
jf;186301;186323;8.3882389068604;988607;19.799959182739;0;21.163017272949;0;1737465159;0;0;825589;0;1.9191958154363;98.080858578291;3959.9920441051;1.5168080329895;0;1737465138;0;0;
jf;186301;186321;3.3508191108704;988642;19.654956817627;0;21.163135528564;0;1737465159;0;0;825507;0;1.6789660276258;98.32107905752;3930.991701662;2.7971119880676;0;1737465138;0;0;
jf;186301;186319;2.1438119411469;988607;19.709964752197;0.025367878326349;21.16318321228;0;1737465159;0.025367878326349;0;825424;0;1.7503840820521;98.198953589774;3941.9930478039;1.7954679727554;0;1737465138;0;0;
jf;186301;186331;2.9966518878937;988607;19.754957199097;0.025310101094291;21.162651062012;0;1737465159;0;0;825956;0;1.8729477850923;98.101799703008;3950.991725693;1.6628439426422;0;1737465138;0;0;
jf;186301;186329;2.0504021644592;988608;19.709959030151;0.050735772488568;21.162746429443;0;1737465159;0.025367886244284;0;825861;0;1.9025919661761;98.021357025776;3941.9918174117;1.5318289995193;0;1737465138;0;0;
jf;186301;186332;1.7777070999146;988607;19.564964294434;0;21.162607192993;0;1737465159;0;0;825999;0;1.8655795152924;98.134470383251;3912.9931154914;1.0187220573425;0;1737465138;0;0;
jf;186301;186327;2.9704868793488;988607;19.584966659546;0;21.162839889526;0;1737465159;0.025529784316254;0;825768;0;1.9913236061239;97.983183757512;3916.9935304284;1.6826130151749;0;1737465138;0;0;
jf;186301;186318;2.2309019565582;988607;19.584943771362;0;21.163221359253;0;1737465159;0.025529813720481;0;825385;0;1.6083785609199;98.366126421568;3916.9890189906;1.5398190021515;0;1737465138;0;0;
jf;186301;186320;6.1113500595093;988607;19.899951934814;0;21.16314125061;0;1737465159;0.025125688571057;0;825465;0;1.9095525326663;98.065376060188;3979.9904276133;1.795872926712;0;1737465138;0;0;
jf;186301;186322;1.5346289873123;988608;19.524959564209;0;21.163061141968;0;1737465159;0.025608245211728;0;825546;0;1.7925771853341;98.181859452205;3904.9922856176;1.4757570028305;0;1737465138;0;0;
jf;186301;186325;2.3633892536163;988608;19.874959945679;0.025157282293291;21.162933349609;0;1737465159;0;0;825675;0;1.8867965045032;98.088100814783;3974.9921646611;2.1365220546722;0;1737465138;0;0;
