Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;576991;6.2750029563904;25.062792323831;6.3919458389282;0;1737735066;0;0;185045;0;0.0050236105222525;74.932153828517;19906.001780401;0;0;1737735060;0;0;
ip-10-0-9-170;_ALL;_ALL;0;576991;6.2750029563904;25.062792323831;6.3919458389282;0;1737735066;0;0;185045;0;0.0050236105222525;74.932153828517;19906.001780401;0;0;1737735060;0;0;
ip-10-0-9-170;3639;_ALL;0;576991;6.2750029563904;25.062792323831;6.3919458389282;0;1737735066;0;0;185045;0;0.0050236105222525;74.932153828517;19906.001780401;0;0;1737735060;0;0;
ip-10-0-9-170;3639;3662;6.3088049888611;575470;6.2699980735779;26.315795369769;6.384250164032;0;1737735066;0;0;191220;0;0;73.684211392597;1253.9997539999;3.6277151107788;0;1737735060;0;0;
ip-10-0-9-170;3639;3639;6.3452625274658;576991;6.2750000953674;25.976094085414;6.3919458389282;0;1737735066;0;0;185045;0;0;74.023889595853;1255.0001002001;4.3178791999817;0;1737735060;0;0;
ip-10-0-9-170;3639;3661;6.3470788002014;575469;6.2700004577637;25.917062248777;6.3842849731445;0;1737735066;0;0;191184;0;0;74.082913891563;1254.0001636001;4.3946189880371;0;1737735060;0;0;
ip-10-0-9-170;3639;3660;6.2887859344482;575468;6.270001411438;23.76394756408;6.3843188285828;0;1737735066;0;0;191149;0;0;76.236019070679;1254.0003684002;4.7386341094971;0;1737735060;0;0;
ip-10-0-9-170;3639;3659;4.7257299423218;575468;6.260000705719;23.961656614642;6.3843522071838;0;1737735066;0;0;191116;0;0;76.038290350195;1252.0002904002;4.7257299423218;0;1737735060;0;0;
ip-10-0-9-170;3639;3665;6.06831407547;575472;6.1699967384338;26.094015245002;6.3841409683228;0;1737735066;0;0;191331;0;0;73.906004398454;1233.9994859997;4.2426390647888;0;1737735060;0;0;
ip-10-0-9-170;3639;3657;4.73810338974;575469;6.2700061798096;25.757540921191;6.3844218254089;0;1737735066;0;0;191047;0;0;74.242289126742;1254.0013924008;4.2627801895142;0;1737735060;0;0;
ip-10-0-9-170;3639;3658;6.2894020080566;575469;6.269998550415;26.395537584052;6.3843879699707;0;1737735066;0;0;191081;0;0;73.604456674317;1253.9998563999;6.2894020080566;0;1737735060;0;0;
ip-10-0-9-170;3639;3656;5.7328701019287;575470;6.2750029563904;23.107550539705;6.3844637870789;0;1737735066;0;0;191006;0;0;76.892351802921;1255.0007146004;3.718337059021;0;1737735060;0;0;
ip-10-0-9-170;3639;3663;6.219172000885;575470;6.1700000762939;24.71636601173;6.3842148780823;0;1737735066;0;0;191255;0;0;75.283603518238;1234.0001004001;4.2911849021912;0;1737735060;0;0;
ip-10-0-9-170;3639;3669;6.1904721260071;575468;6.1749987602234;24.372473060489;6.3839979171753;0;1737735066;0;0;191470;0;0;75.627532510366;1234.9998321999;6.1904721260071;0;1737735060;0;0;
ip-10-0-9-170;3639;3670;6.1990509033203;575525;6.1699995994568;25.688818566758;6.384024143219;0;1737735066;0;0;191501;0;0;74.311154917829;1233.999998;4.624559879303;0;1737735060;0;0;
ip-10-0-9-170;3639;3668;6.1890301704407;575470;6.1699986457825;26.742304870593;6.3840398788452;0;1737735066;0;0;191430;0;0;73.257684367649;1233.9997931999;4.2489099502563;0;1737735060;0;0;
ip-10-0-9-170;3639;3667;6.1952719688416;575471;6.1699995994568;24.635334108;6.3840742111206;0;1737735066;0;0;191397;0;0;75.364652926028;1233.999998;6.1952719688416;0;1737735060;0;0;
ip-10-0-9-170;3639;3664;6.1985039710999;575473;6.1749968528748;23.643733725328;6.3841757774353;0;1737735066;0;0;191297;0;0.080971691062005;76.275315522902;1234.9995249997;3.6668360233307;0;1737735060;0;0;
ip-10-0-9-170;3639;3666;6.0890307426453;575473;6.1700015068054;23.905988165245;6.3841080665588;0;1737735066;0;0;191365;0;0;76.093958155648;1234.0004076002;3.7358479499817;0;1737735060;0;0;
