group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;FLD,;2698,;0x3574,;RIP based value;0;Success;4;4;0;4;0;1;
3;LLS;VMULSD,FMUL,FSTP,;0,0,0,;0x357a,0x357f,0x3586,;Success;0;Success;24;8;16;8;0;1;
2;LS;MOV,MOV,;0,4992,;0x3528,0x352c,;Iteration not constant;0;Success;16;16;0;5000;0;1;
