function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
18;BSM;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);;36.717063903809;0.85000002384186;0;0;0;0;0;19.006479263306;0.43999999761581;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_;;
13;BSM;main._omp_fn.0;;34.341251373291;0.7950000166893;0;0;0;0;0;6.9208948616506e-07;1.6021871829253e-08;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";main._omp_fn.0;;
654;libm.so.6;f64xsubf128;;23.758092880249;0.54999983310699;0;0;0;0;0;23.758092880249;0.54999983310699;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";f64xsubf128;;
17;BSM;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();;2.3758099079132;0.054999999701977;0;0;0;0;0;1.7302237154126e-07;4.0054679573132e-09;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EE11_M_gen_randEv;;
340;libm.so.6;exp;;1.9438441991806;0.044999994337559;0;0;0;0;0;1.9438441991806;0.044999994337559;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";exp;;
338;libm.so.6;log;;0.43196541070938;0.0099999997764826;0;0;0;0;0;0.43196541070938;0.0099999997764826;0;0;0;0;0;;"0,0,0,100,0,0,0,0,0,0";log;;
284;libgomp.so.1.0.0;omp_get_num_procs;;0.21598270535469;0.0049999998882413;0;0;0;0;0;0.21598270535469;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";omp_get_num_procs;;
-1;BSM;unknown_function;;0.21598270535469;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
