node;pid;tid;core_id;sample_count;
jf;435156;435180;8;459;
jf;435156;435184;3;137;
jf;435156;435184;4;255;
jf;435156;435184;7;58;
jf;435156;435184;8;2;
jf;435156;435184;10;4;
jf;435156;435187;5;461;
jf;435156;435186;16;460;
jf;435156;435185;3;114;
jf;435156;435185;4;25;
jf;435156;435185;12;325;
jf;435156;435182;2;405;
jf;435156;435182;6;55;
jf;435156;435173;3;30;
jf;435156;435173;4;47;
jf;435156;435173;7;383;
jf;435156;435173;14;4;
jf;435156;435177;8;11;
jf;435156;435177;11;453;
jf;435156;435179;10;466;
jf;435156;435183;1;463;
jf;435156;435156;9;466;
jf;435156;435181;14;458;
jf;435156;435175;2;37;
jf;435156;435175;5;5;
jf;435156;435175;6;424;
jf;435156;435176;3;161;
jf;435156;435176;4;151;
jf;435156;435176;12;155;
jf;435156;435174;9;15;
jf;435156;435174;13;442;
jf;435156;435174;14;6;
jf;435156;435178;1;2;
jf;435156;435178;7;6;
jf;435156;435178;15;455;
