group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;FLD,;2266,;0x3724,;RIP based value;0;Success;4;4;0;4;0;1;
3;LLS;VMULSD,FMUL,FSTP,;0,0,0,;0x372a,0x372f,0x3736,;Success;0;Success;24;8;16;8;0;1;
2;LS;MOV,MOV,;0,4992,;0x36d8,0x36dc,;Iteration not constant;0;Success;16;16;0;5000;0;1;
