group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
5;LLLLL;VMOVSD,VFMADD213SD,VMOVSD,VFMADD213SD,VCOMISD,;4540,4536,4509,4508,4525,;0x2f54,0x2f5f,0x2f73,0x2f7b,0x2f93,;RIP based value;0;Success;40;29;11;40;0;1;
2;SL;VMOVSD,VMOVSD,;8,8,;0x2f68,0x2f84,;Success;0;Success;16;8;8;8;0;1;
