group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
3;LLS;VPAND,VPXOR,VMOVDQU,;-32,-1848,-32,;0x361a,0x3628,0x3640,;Success;32;Success;96;64;32;1848;64;1;
1;L;VPAND,;8,;0x3611,;Success;32;Success;32;32;0;32;32;1;
